MAIN_FREQ;GENS_FREQ;R012229;R018235;R020228;R021229;R024232;MAIN_L1-N;MAIN_L2-N;MAIN_L3-N;GENS_L1-N;GENS_L2-N;GENS_L3-N;GENS_FUEL1;R041231;R042232;R043233;GENS_BAT_U;R057238;GENS_TEN_D;R130230;R132232;R144235;R155237;R161234;R166239;R183238;R194240;R216235;R217236;R218237;R223233;R228238;R229239;R231232;R235236;version
0;49.57;A012D00291291;A018D000000;A020D000011;A021D0004141;A024D000000;0;0;0;231.23;233.23;238.24;81.81;A041D000000;A042D000000;A043D000000;14.91;A057D000000;40.04;A130D00765765;A132D010561056;A144D000000;A155D000000;A161D000000;A166D000000;A183D000000;A194D000022;A216D000000;A217D000000;A218D000000;A223D000000;A228D000000;A229D000000;A231D000000;A235D000000;0.00.3
50.01;0;A012D0001111;A018D000000;A020D000011;A021D0004141;A024D000000;232.23;234.23;233.23;0;0;0;82.82;A041D000000;A042D000000;A043D000000;13.21;A057D000000;0.51;A130D00239239;A132D00250250;A144D000000;A155D000000;A161D000000;A166D000000;A183D000000;A194D000011;A216D000000;A217D000000;A218D000000;A223D000000;A228D000000;A229D000000;A231D000000;A235D000000;0.00.3
